ccn,hospital_name,state,previous_status,disposition,issue,next_step,pointer_url,pointer_status,pointer_checked_at,pointer_declared_url,mrf_url,mrf_status,mrf_final_url,identity,identity_basis,header_name,header_location,header_state,date,version,metadata,file_checked_at,pointer_sha256,file_sha256,adjudicated,note
034035,AVENIR BEHAVIORAL HEALTH CENTER,AZ,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759426049/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmhxc3h3-avenir-senior-living/uploads/cms-hptt_ggurj3.txt,200,2026-09-09T10:06:57.219Z,,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv,200,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv,corroborated,file-name-and-address,Avenir Behavioral health Center,Avenir Behavioral health Center,AZ,2025-09-30,2.0.0,date-within-365-days-older-version,2026-09-09T10:06:57.272Z,b0e0ec886e64e010514ee02b17c35745813a843f850d9cfe86e447f823301496,d1a86932fc3dd1b2da16c38ed545d33ed708692ad5514f36429962d03fbeb12f,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
040014,WHITE COUNTY MEDICAL CENTER,AR,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,206,2026-09-09T10:06:57.692Z,,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json,206,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json,corroborated,file-name-and-address,Unity Health White County Medical Center,Unity Health White County Medical Center,AR,2025-03-01,2.2.0,date-over-365-days,2026-09-09T10:06:58.041Z,4ed681b955f9316848755ccd1352c56a23f67331474733bbf3829213216a1551,8c06a607fb9672b53040b4748fa477ec6365b691d0418972d20bab1e2cf7ea28,,Same declared date 2025-03-01 observed again after the earlier check (2026-09-09T01:47:31.550Z).
040164,UNITY HEALTH - JACKSONVILLE,AR,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,206,2026-09-09T10:06:57.692Z,,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json,206,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json,corroborated,file-name-and-address,Unity Health - Jacksonville,Unity Health - Jacksonville,AR,2025-03-01,2.2.0,date-over-365-days,2026-09-09T10:07:01.910Z,4ed681b955f9316848755ccd1352c56a23f67331474733bbf3829213216a1551,54803b8b514c0a8acd94c1cf8d354349ef3e2717bf2f0ff57a9bc82599f8effb,,Same declared date 2025-03-01 observed again after the earlier check (2026-09-09T01:47:31.340Z).
041309,LAWRENCE MEMORIAL HOSPITAL,AR,file-access-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://www.mhlawrencehospital.org/cms-hpt.txt,206,2026-09-09T10:07:00.377Z,,https://www.mhlawrencehospital.org/LawrenceGeneral/media/PDF-Docs/042103586_LawerenceGeneralHospital_standardcharges.csv,404,https://lawrencememorial.info/storage/cms/library/documents/731547175_lawrence-memorial-health-foundation-inc_standardcharges.csv,corroborated,file-name-and-address,"LAWRENCE MEMORIAL HEALTH FOUNDATION, INC",LAWRENCE MEMORIAL HOSPITAL,AR,2025-12-22,3.0.0,date-within-365-days-version-3,2026-09-09T10:43:53.382Z,f602f1a77bd0c6e2ae66c7f4febf63ca178b3fac46c65e712dd590514222794e,4d02b84002bf0a83a8137d77ef26e38f0e32fc2834aab1b954cd3f8bea988f2f,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
041332,UNITY HEALTH - NEWPORT,AR,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,206,2026-09-09T10:06:57.692Z,,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json,206,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json,corroborated,file-name-and-address,Unity Health - Newport,Unity Health - Newport,AR,2025-03-01,2.2.0,date-over-365-days,2026-09-09T10:07:02.378Z,4ed681b955f9316848755ccd1352c56a23f67331474733bbf3829213216a1551,c7b45497705b1fc173ea4f4c6bfd23fe1b931706fe82673be6047c051a898559,,Same declared date 2025-03-01 observed again after the earlier check (2026-09-09T01:47:31.400Z).
050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,CA,metadata-or-pointer-review,publisher-issue,template-version-unrecognized,Publisher inquiry: confirm which CMS data dictionary version the file implements; recheck on their reply,https://ruhealth.org/cms-hpt.txt,206,2026-09-09T10:07:03.058Z,,https://www.ruhealth.org/956000930_riverside-university-health-system_standardcharges.csv,206,https://www.ruhealth.org/956000930_riverside-university-health-system_standardcharges.csv,corroborated,file-name-and-address,Riverside University Medical Center,Riverside University Medical Center,CA,2026-03-30,2026.1.0,date-within-365-days-version-unverified,2026-09-09T10:07:03.107Z,b54fbe31b0e46b5f05271b0fd7187bb1dfc7e3473a0828cce58bf9d5cc3d7ad0,04fd3ed5dc2ae31a0da7b016e706c2f423377805040992e0028dc9b6608b8905,,Declared template version 2026.1.0 is not a recognized CMS data dictionary version; facility identity and the 2026-03-30 update date are corroborated.
050625,CEDARS-SINAI MEDICAL CENTER,CA,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://www.cedars-sinai.org/cms-hpt.txt,206,2026-09-09T10:07:04.295Z,,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,200,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,corroborated,file-name-and-address,Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,CA,2025-11-26,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:05.033Z,03159e751868fa2c399dfac9eb4ad8ff9b66bf0ffd00e4119fe411c0418269c4,b02db000094d1e6a037e8abf4f7d584bb7101eb8816dad49d4b646c8551d64a0,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
050708,FRESNO SURGICAL HOSPITAL,CA,pointer-or-domain-review,publisher-issue,file-published-no-machine-pointer,Publisher inquiry: ask the facility to publish a machine-readable pointer (cms-hpt.txt) alongside the file; the file itself is already verified,https://fresnosurgicalhospital.com/cms-hpt.txt,403,2026-09-09T11:41:17.134Z,,https://mrfs.hyvehealthcare.com/USPI/770011624_fresno-surgery-center-lp_standardcharges.json,206,https://mrfs.hyvehealthcare.com/USPI/770011624_fresno-surgery-center-lp_standardcharges.json,corroborated,file-name-and-address,Fresno Surgery Center LP,Fresno Surgical Hospital,CA,2026-04-08,3.0.0,date-within-365-days-version-3,2026-09-09T16:09:00.007Z,,df934eecfa7a07eeb4e5d87df3917732a947db507042de38266677c849d00e47,,"File served on the facility's own site is current (2026-04-08, version 3.0.0) and its header matches the roster facility, but no machine-readable pointer declares it."
050854,"ANAHEIM COMMUNITY HOSPITAL, LLC",CA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://anaheimcommunityhospital.com/cms-hpt.txt,200,2026-09-09T10:07:03.515Z,,https://www.anaheimcommunityhospital.com/wp-content/uploads/2025/03/854314119_anaheim-community-hospital-llc_standardcharges.csv,206,https://www.anaheimcommunityhospital.com/wp-content/uploads/2025/03/854314119_anaheim-community-hospital-llc_standardcharges.csv,corroborated,file-name-and-address,"Anaheim Community Hospital, LLC",Anaheim Community Hospital,CA,2025-03-03,2.0.0,date-over-365-days,2026-09-09T10:07:03.900Z,9de30b38a8ab114294fce5ee23063a0884c85ce85b574501397803fee9b28f9b,c355fa1ee8b670b51b5b1be6365e8cbebbb5fdf608034116a3f73992f38f5f0f,,Same declared date 2025-03-03 observed again after the earlier check (2026-09-09T01:47:44.736Z).
051306,GLENN MEDICAL CENTER,CA,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://gmcmed.org/cms-hpt.txt,200,2026-09-09T10:07:04.386Z,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGMCWILLOWSCA&type=CDMWithoutLabel&fileType=CSV,200,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGMCWILLOWSCA&type=CDMWithoutLabel&fileType=CSV,corroborated,exact-pointer-name-and-file-address,American Advanced - Glenn Medical Center,American Advanced - Glenn Medical Center,CA,2025-10-04,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:12.351Z,06554a39341dd96462cd4c2403383d7c21760781363f3c6445a858d0b4e4162f,9361471aa6fa72895352b3e41efc3c9aa81469b20604abd73c9cd45ab110d854,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
051324,NORTHERN INYO HOSPITAL,CA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.nih.org/cms-hpt.txt,206,2026-09-09T10:07:03.914Z,,https://www.nih.org/documents/956005449_northern-inyo-hospital_standardcharges.csv,206,https://www.nih.org/documents/956005449_northern-inyo-hospital_standardcharges.csv,corroborated,file-name-and-address,Northern Inyo Hospital,Northern Inyo Hospital,CA,2024-10-01,2.2.0,date-over-365-days,2026-09-09T10:07:04.224Z,2a9cfbcf3da79575f6909198398163650d0545181a27dfdeeec89507b51c116e,6b9eb1b5ae6ec49ed9743150e834a261f2bf68b9473062392432ada3713f3504,,Same declared date 2024-10-01 observed again after the earlier check (2026-09-09T01:47:45.589Z).
051335,BEAR VALLEY COMMUNITY HOSPITAL,CA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://bvchd.com/cms-hpt.txt,200,2026-09-09T10:07:03.601Z,,https://bvchd.com/wp-content/uploads/2024/09/330294751_BEAR-VALLEY-COMMUNITY-HOSPITAL_standardcharges.csv,206,https://bvchd.com/wp-content/uploads/2024/09/330294751_BEAR-VALLEY-COMMUNITY-HOSPITAL_standardcharges.csv,corroborated,file-name-and-address,Bear Valley Healthcare District,Bear Valley Community Hospital,CA,2024-08-29,2.0.0,date-over-365-days,2026-09-09T10:07:04.071Z,113ff7dd3b2b091a0f4261e00397342c55f59e94b38672524b5b10dcd190194e,e37ec51afece53c7218bcf9141b0530335ba3622a2aaf52df5aa3dd79c6b6977,,Same declared date 2024-08-29 observed again after the earlier check (2026-09-09T01:47:44.821Z).
054028,GATEWAYS HOSP  MENTAL HEALTH CTR,CA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://gatewayshospital.org/cms-hpt.txt,200,2026-09-09T10:07:03.922Z,,https://www.gatewayshospital.org/price-transparency/95-1691011_gateways-hospital-and-mental-health-center_standardcharges.csv,206,https://www.gatewayshospital.org/price-transparency/95-1691011_gateways-hospital-and-mental-health-center_standardcharges.csv,corroborated,file-name-and-address,Gateways Hospital and Mental Health Center,Gateways Hospital and Mental Health Center\|Gateways Hospital and Mental Health Center,CA,2025-08-06,3.0.0,date-over-365-days,2026-09-09T10:07:04.166Z,160c2106c82c11312467ff8c4cfbf90a7a4e6fc5238ac61ce46ada30992a37f2,70c0d62d8269d1653b2e31b0cedf81b439b5ec8c6ef8a379be00bd3c27592b3e,,Same declared date 2025-08-06 observed again after the earlier check (2026-09-09T01:47:45.521Z).
054158,"ALISO RIDGE BEHAVIORAL HEALTH, LLC",CA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.ocspecialtyhealth.com/cms-hpt.txt,200,2026-09-09T10:07:04.197Z,,https://www.ocspecialtyhealth.com/wp-content/uploads/2025/03/811504286_aliso-ridge-behavioral-health-llc_standardcharges.csv,206,https://www.ocspecialtyhealth.com/wp-content/uploads/2025/03/811504286_aliso-ridge-behavioral-health-llc_standardcharges.csv,corroborated,file-name-and-address,"Aliso Ridge Behavioral Health, LLC",Aliso Ridge Behavioral Health,CA,2025-03-21,2.0.0,date-over-365-days,2026-09-09T10:07:04.349Z,026c3bbe410121d6b0ffa77fe6c4eff9092c46e70f7748c7c60ec4790f904683,018294897b7bc0c023af821f60b9b6c6b11aa9ed080836985b55627a3f2579c5,,Same declared date 2025-03-21 observed again after the earlier check (2026-09-09T01:47:43.539Z).
061323,PROWERS MEDICAL CENTER,CO,identity-or-format-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.prowersmedical.com/cms-hpt.txt,206,2026-09-09T10:07:05.372Z,,https://www.prowersmedical.com/wp-content/uploads/840584583_PROWERS-MEDICAL-CENTER_STANDARDCHARGES.csv,206,https://www.prowersmedical.com/wp-content/uploads/840584583_PROWERS-MEDICAL-CENTER_STANDARDCHARGES.csv,corroborated-adjudicated,exact-name-and-address-without-license-state,Prowers Medical Center,Prowers Medical Center,,2025-01-01,2.0.0,date-over-365-days,2026-09-09T10:07:05.176Z,153c83c89d9ada24f24cd71272612c1344f310a7555599efca2a6a5f28c7773d,f1de55815c96f0d5852df63efd721559cc57af6392f15c5cf8ad91010f73dffb,exact-name-and-address-without-license-state,Same declared date 2025-01-01 observed again after the earlier check (2026-09-09T02:26:51.813Z).
061343,KEEFE MEMORIAL HOSPITAL,CO,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://keefemh.org/cms-hpt.txt,206,2026-09-09T10:07:05.202Z,,https://keefemh.org/wp-content/uploads/2025/07/472340447_keefe-memorial-health-service-district_standardcharges.csv,206,https://keefemh.org/wp-content/uploads/2025/07/472340447_keefe-memorial-health-service-district_standardcharges.csv,corroborated,file-name-and-address,Keefe Memorial Health Service District,Keefe Memorial Hospital,CO,2025-06-30,2.0.0,date-over-365-days,2026-09-09T10:07:05.421Z,6f31f5acfb2ea4f05e0dd146e20ed80e1debed1b538bcd2b3584a7d007e87430,5ba5fc7280f0809574ea5e6fcc67a238c7e974b98bbf3e7d147a96d21ce261d9,,Same declared date 2025-06-30 observed again after the earlier check (2026-09-09T01:47:50.518Z).
070010,BRIDGEPORT HOSPITAL,CT,file-access-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://www.bridgeporthospital.org/BHAssets/cms-hpt.txt,206,2026-09-09T10:07:05.587Z,,https://www.bridgeporthospital.org/404,404,,,,,,,,,,2026-09-09T10:07:05.817Z,0fc482dd0e90d02f2892b036182c940ae48c2a922c9d11124018fab4163d18b9,,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
070022,YALE-NEW HAVEN HOSPITAL,CT,file-access-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://www.ynhh.org/YNHHAssets/cms-hpt.txt,206,2026-09-09T10:07:05.659Z,,https://www.ynhh.org/404,404,,,,,,,,,,2026-09-09T10:07:05.853Z,adbf359f1f77f57d38cb6830d4c635aaaf942c9d370b9c33c9d782ceb3f80c5c,,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
100029,NORTH SHORE MEDICAL CENTER,FL,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://northshoremc.org/cms-hpt.txt,200,2026-09-09T10:07:05.978Z,,https://northshoremc.org/pricetransparency/995020733_NorthShoreMedicalCenter_standardcharges.csv,206,https://northshoremc.org/pricetransparency/995020733_NorthShoreMedicalCenter_standardcharges.csv,corroborated,file-name-and-address,HSA NSMC LLC,North Shore Medical Center,FL,2025-02-21,2.0.0,date-over-365-days,2026-09-09T10:07:06.342Z,61fc4bbc21aa1918696c94dfe5888c29ace0884357434569411c4a2f438cbc5c,15579c5b9e13d7e952512e01c660fdb900c5843dd7a80990026102f2b9eced9c,,Same declared date 2025-02-21 observed again after the earlier check (2026-09-09T01:47:59.636Z).
100053,HIALEAH HOSPITAL,FL,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://hialeahhosp.org/cms-hpt.txt,200,2026-09-09T10:07:06.200Z,,https://hialeahhosp.org/pricetransparency/995053647_HialeahHospital_standardcharges.csv,206,https://hialeahhosp.org/pricetransparency/995053647_HialeahHospital_standardcharges.csv,corroborated,file-name-and-address,HSA HH LLC,Hialeah Hospital,FL,2025-02-21,2.0.0,date-over-365-days,2026-09-09T10:07:06.693Z,0dd69ca1f9215c863aea66d226547021b199d5931039fab610c9c766bb2a6466,7e7837cd20a49d11bbf62a35b98fcdb2cdf3ebfc400badc8119a57169a51d95e,,Same declared date 2025-02-21 observed again after the earlier check (2026-09-09T01:47:57.201Z).
