ccn,hospital_name,state,issue,subject,body,contact,send_status
Recorded evidence: pointer https://crenshawcommunityhospital.com/wp-content/uploads/2025/11/cms-hpt.txt (HTTP 206); file https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv (HTTP 206); checked 2026-09-09T10:07:02.341Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,declared-update-date-over-365-days,Price transparency file: SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM (CCN 021314),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel declares last_updated_on 2024-12-09, more than 365 days before our check on 2026-09-09T10:06:57.001Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel (HTTP 200); checked 2026-09-09T10:06:57.001Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,declared-update-date-over-365-days,Price transparency file: SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER (CCN 030062),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://hospitalpricedisclosure.com/download.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-* declares last_updated_on 2025-01-01, more than 365 days before our check on 2026-09-09T10:06:56.588Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://summithealthcare.net/cms-hpt.txt (HTTP 200); file https://hospitalpricedisclosure.com/download.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-* (HTTP 206); checked 2026-09-09T10:06:56.588Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
030153,EAST VALLEY ER & HOSPITAL,AZ,template-version-older-than-3,Price transparency file: EAST VALLEY ER & HOSPITAL (CCN 030153),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv declares a current date (2025-10-10) but template version 2.1.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://eastvalleyhospital.com/cms-hpt.txt (HTTP 200); file https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv (HTTP 200); checked 2026-09-09T10:06:56.682Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
034013,COLLEGE MEDICAL CENTER PHOENIX,AZ,template-version-older-than-3,Price transparency file: COLLEGE MEDICAL CENTER PHOENIX (CCN 034013),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://cmcphoenix.com/331313844_college-medical-center-phoenix_standardcharges-3/ declares a current date (2026-03-11) but template version 1. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://cmcphoenix.com/cms-hpt.txt (HTTP 200); file https://cmcphoenix.com/331313844_college-medical-center-phoenix_standardcharges-3/ (HTTP 200); checked 2026-09-09T10:07:02.760Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
034025,THE HEALING PLACE,AZ,template-version-older-than-3,Price transparency file: THE HEALING PLACE (CCN 034025),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.polarahealth.com/s/TheHealingPlace_MainCampus_StandardCharges.csv declares a current date (2025-11-04) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://static1.squarespace.com/static/641cdb99a1fef46a48846e0c/t/69177051ff07795f6421eb3a/1763143790342/cms-hpt.txt (HTTP 206); file https://www.polarahealth.com/s/TheHealingPlace_MainCampus_StandardCharges.csv (HTTP 206); checked 2026-09-09T10:06:57.339Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
034034,DESTINY SPRINGS HEALTHCARE,AZ,pointer-declared-file-404,Price transparency file: DESTINY SPRINGS HEALTHCARE (CCN 034034),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://www.destinyspringshealthcare.com/files/81-4160201_Destiny-Springs-Healthcare_standardcharges.csv, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://5798232a-0473-45d2-b484-accd085e50e0.usrfiles.com/ugd/579823_c1d62be5375442a28d99445b448b1c3e.txt (HTTP 206); file https://www.destinyspringshealthcare.com/files/81-4160201_Destiny-Springs-Healthcare_standardcharges.csv (HTTP 404); checked 2026-09-09T10:43:52.090Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
034035,AVENIR BEHAVIORAL HEALTH CENTER,AZ,template-version-older-than-3,Price transparency file: AVENIR BEHAVIORAL HEALTH CENTER (CCN 034035),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv declares a current date (2025-09-30) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759426049/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmhxc3h3-avenir-senior-living/uploads/cms-hptt_ggurj3.txt (HTTP 200); file https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv (HTTP 200); checked 2026-09-09T10:06:57.272Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
040014,WHITE COUNTY MEDICAL CENTER,AR,declared-update-date-over-365-days,Price transparency file: WHITE COUNTY MEDICAL CENTER (CCN 040014),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json declares last_updated_on 2025-03-01, more than 365 days before our check on 2026-09-09T10:06:58.041Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt (HTTP 206); file https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json (HTTP 206); checked 2026-09-09T10:06:58.041Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
040164,UNITY HEALTH - JACKSONVILLE,AR,declared-update-date-over-365-days,Price transparency file: UNITY HEALTH - JACKSONVILLE (CCN 040164),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json declares last_updated_on 2025-03-01, more than 365 days before our check on 2026-09-09T10:07:01.910Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt (HTTP 206); file https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json (HTTP 206); checked 2026-09-09T10:07:01.910Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
041309,LAWRENCE MEMORIAL HOSPITAL,AR,pointer-declared-file-404,Price transparency file: LAWRENCE MEMORIAL HOSPITAL (CCN 041309),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://www.mhlawrencehospital.org/LawrenceGeneral/media/PDF-Docs/042103586_LawerenceGeneralHospital_standardcharges.csv, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://www.mhlawrencehospital.org/cms-hpt.txt (HTTP 206); file https://www.mhlawrencehospital.org/LawrenceGeneral/media/PDF-Docs/042103586_LawerenceGeneralHospital_standardcharges.csv (HTTP 404); checked 2026-09-09T10:43:53.382Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
041332,UNITY HEALTH - NEWPORT,AR,declared-update-date-over-365-days,Price transparency file: UNITY HEALTH - NEWPORT (CCN 041332),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json declares last_updated_on 2025-03-01, more than 365 days before our check on 2026-09-09T10:07:02.378Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt (HTTP 206); file https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json (HTTP 206); checked 2026-09-09T10:07:02.378Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,CA,template-version-unrecognized,Price transparency file: RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER (CCN 050292),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.ruhealth.org/956000930_riverside-university-health-system_standardcharges.csv declares template version 2026.1.0, which this review does not recognize; its update date (2026-03-30) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer https://ruhealth.org/cms-hpt.txt (HTTP 206); file https://www.ruhealth.org/956000930_riverside-university-health-system_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:03.107Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
050625,CEDARS-SINAI MEDICAL CENTER,CA,template-version-older-than-3,Price transparency file: CEDARS-SINAI MEDICAL CENTER (CCN 050625),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json declares a current date (2025-11-26) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://www.cedars-sinai.org/cms-hpt.txt (HTTP 206); file https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json (HTTP 200); checked 2026-09-09T10:07:05.033Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
050854,ANAHEIM COMMUNITY HOSPITAL, LLC,CA,declared-update-date-over-365-days,Price transparency file: ANAHEIM COMMUNITY HOSPITAL,hpt-obf:v1:DglEdB4uri3WtZol.NhvuEHxvjpsWr04X49uj7Q.ElDsDErDZgwqgNorGX1U2qg,Hello
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.anaheimcommunityhospital.com/wp-content/uploads/2025/03/854314119_anaheim-community-hospital-llc_standardcharges.csv declares last_updated_on 2025-03-03, more than 365 days before our check on 2026-09-09T10:07:03.900Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://anaheimcommunityhospital.com/cms-hpt.txt (HTTP 200); file https://www.anaheimcommunityhospital.com/wp-content/uploads/2025/03/854314119_anaheim-community-hospital-llc_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:03.900Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
051306,GLENN MEDICAL CENTER,CA,template-version-older-than-3,Price transparency file: GLENN MEDICAL CENTER (CCN 051306),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGMCWILLOWSCA&type=CDMWithoutLabel&fileType=CSV declares a current date (2025-10-04) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://gmcmed.org/cms-hpt.txt (HTTP 200); file https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGMCWILLOWSCA&type=CDMWithoutLabel&fileType=CSV (HTTP 200); checked 2026-09-09T10:07:12.351Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
051324,NORTHERN INYO HOSPITAL,CA,declared-update-date-over-365-days,Price transparency file: NORTHERN INYO HOSPITAL (CCN 051324),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.nih.org/documents/956005449_northern-inyo-hospital_standardcharges.csv declares last_updated_on 2024-10-01, more than 365 days before our check on 2026-09-09T10:07:04.224Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.nih.org/cms-hpt.txt (HTTP 206); file https://www.nih.org/documents/956005449_northern-inyo-hospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:04.224Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
051335,BEAR VALLEY COMMUNITY HOSPITAL,CA,declared-update-date-over-365-days,Price transparency file: BEAR VALLEY COMMUNITY HOSPITAL (CCN 051335),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://bvchd.com/wp-content/uploads/2024/09/330294751_BEAR-VALLEY-COMMUNITY-HOSPITAL_standardcharges.csv declares last_updated_on 2024-08-29, more than 365 days before our check on 2026-09-09T10:07:04.071Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://bvchd.com/cms-hpt.txt (HTTP 200); file https://bvchd.com/wp-content/uploads/2024/09/330294751_BEAR-VALLEY-COMMUNITY-HOSPITAL_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:04.071Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
054028,GATEWAYS HOSP  MENTAL HEALTH CTR,CA,declared-update-date-over-365-days,Price transparency file: GATEWAYS HOSP  MENTAL HEALTH CTR (CCN 054028),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.gatewayshospital.org/price-transparency/95-1691011_gateways-hospital-and-mental-health-center_standardcharges.csv declares last_updated_on 2025-08-06, more than 365 days before our check on 2026-09-09T10:07:04.166Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://gatewayshospital.org/cms-hpt.txt (HTTP 200); file https://www.gatewayshospital.org/price-transparency/95-1691011_gateways-hospital-and-mental-health-center_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:04.166Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
054158,ALISO RIDGE BEHAVIORAL HEALTH, LLC,CA,declared-update-date-over-365-days,Price transparency file: ALISO RIDGE BEHAVIORAL HEALTH,hpt-obf:v1:IZB490IgcKJYaDxH.CDPyBneIaK40d_F05b8lLg.Aw3RyEmY1aXgu5NzOveuv6c,Hello
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.ocspecialtyhealth.com/wp-content/uploads/2025/03/811504286_aliso-ridge-behavioral-health-llc_standardcharges.csv declares last_updated_on 2025-03-21, more than 365 days before our check on 2026-09-09T10:07:04.349Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.ocspecialtyhealth.com/cms-hpt.txt (HTTP 200); file https://www.ocspecialtyhealth.com/wp-content/uploads/2025/03/811504286_aliso-ridge-behavioral-health-llc_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:04.349Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
061323,PROWERS MEDICAL CENTER,CO,declared-update-date-over-365-days,Price transparency file: PROWERS MEDICAL CENTER (CCN 061323),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.prowersmedical.com/wp-content/uploads/840584583_PROWERS-MEDICAL-CENTER_STANDARDCHARGES.csv declares last_updated_on 2025-01-01, more than 365 days before our check on 2026-09-09T10:07:05.176Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.prowersmedical.com/cms-hpt.txt (HTTP 206); file https://www.prowersmedical.com/wp-content/uploads/840584583_PROWERS-MEDICAL-CENTER_STANDARDCHARGES.csv (HTTP 206); checked 2026-09-09T10:07:05.176Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
061343,KEEFE MEMORIAL HOSPITAL,CO,declared-update-date-over-365-days,Price transparency file: KEEFE MEMORIAL HOSPITAL (CCN 061343),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://keefemh.org/wp-content/uploads/2025/07/472340447_keefe-memorial-health-service-district_standardcharges.csv declares last_updated_on 2025-06-30, more than 365 days before our check on 2026-09-09T10:07:05.421Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://keefemh.org/cms-hpt.txt (HTTP 206); file https://keefemh.org/wp-content/uploads/2025/07/472340447_keefe-memorial-health-service-district_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:05.421Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
070010,BRIDGEPORT HOSPITAL,CT,pointer-declared-file-404,Price transparency file: BRIDGEPORT HOSPITAL (CCN 070010),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://www.bridgeporthospital.org/404, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://www.bridgeporthospital.org/BHAssets/cms-hpt.txt (HTTP 206); file https://www.bridgeporthospital.org/404 (HTTP 404); checked 2026-09-09T10:07:05.817Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
070022,YALE-NEW HAVEN HOSPITAL,CT,pointer-declared-file-404,Price transparency file: YALE-NEW HAVEN HOSPITAL (CCN 070022),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://www.ynhh.org/404, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://www.ynhh.org/YNHHAssets/cms-hpt.txt (HTTP 206); file https://www.ynhh.org/404 (HTTP 404); checked 2026-09-09T10:07:05.853Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100029,NORTH SHORE MEDICAL CENTER,FL,declared-update-date-over-365-days,Price transparency file: NORTH SHORE MEDICAL CENTER (CCN 100029),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://northshoremc.org/pricetransparency/995020733_NorthShoreMedicalCenter_standardcharges.csv declares last_updated_on 2025-02-21, more than 365 days before our check on 2026-09-09T10:07:06.342Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://northshoremc.org/cms-hpt.txt (HTTP 200); file https://northshoremc.org/pricetransparency/995020733_NorthShoreMedicalCenter_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:06.342Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100053,HIALEAH HOSPITAL,FL,declared-update-date-over-365-days,Price transparency file: HIALEAH HOSPITAL (CCN 100053),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://hialeahhosp.org/pricetransparency/995053647_HialeahHospital_standardcharges.csv declares last_updated_on 2025-02-21, more than 365 days before our check on 2026-09-09T10:07:06.693Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://hialeahhosp.org/cms-hpt.txt (HTTP 200); file https://hialeahhosp.org/pricetransparency/995053647_HialeahHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:06.693Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100135,TALLAHASSEE MEMORIAL HEALTHCARE,FL,declared-update-date-over-365-days,Price transparency file: TALLAHASSEE MEMORIAL HEALTHCARE (CCN 100135),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.tmh.org/sites/default/files/price-transparency/591917016_tallahassee-memorial-hospital_standardcharges.csv declares last_updated_on 2025-05-15, more than 365 days before our check on 2026-09-09T10:07:12.254Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.tmh.org/sites/default/files/price-transparency/cms-hpt.txt (HTTP 206); file https://www.tmh.org/sites/default/files/price-transparency/591917016_tallahassee-memorial-hospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:12.254Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100183,CORAL GABLES HOSPITAL,FL,declared-update-date-over-365-days,Price transparency file: CORAL GABLES HOSPITAL (CCN 100183),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://coralgableshospital.org/pricetransparency/995038459_CoralGablesHospital_standardcharges.csv declares last_updated_on 2025-02-21, more than 365 days before our check on 2026-09-09T10:07:07.016Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://coralgableshospital.org/cms-hpt.txt (HTTP 200); file https://coralgableshospital.org/pricetransparency/995038459_CoralGablesHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:07.016Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100187,PALMETTO GENERAL HOSPITAL,FL,declared-update-date-over-365-days,Price transparency file: PALMETTO GENERAL HOSPITAL (CCN 100187),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://palmettogeneral.org/pricetransparency/995002378_PalmettoGeneralHospital_standardcharges.csv declares last_updated_on 2025-02-20, more than 365 days before our check on 2026-09-09T10:07:07.578Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://palmettogeneral.org/cms-hpt.txt (HTTP 200); file https://palmettogeneral.org/pricetransparency/995002378_PalmettoGeneralHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:07.578Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100249,TAMPA GENERAL HOSPITAL CRYSTAL RIVER,FL,pointer-declared-file-404,Price transparency file: TAMPA GENERAL HOSPITAL CRYSTAL RIVER (CCN 100249),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://www.tghnorth.org/-/media/files/tgh-north-files/93-3085834_tampa-general-hospital-crystal-river_standardcharges_excel.csv?rev=707784c8944a446c94601457bea65319&hash=A8E4902F0337A7A83FB17BF07844A443, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://www.tgh.org/cms-hpt.txt (HTTP 200); file https://www.tghnorth.org/-/media/files/tgh-north-files/93-3085834_tampa-general-hospital-crystal-river_standardcharges_excel.csv?rev=707784c8944a446c94601457bea65319&hash=A8E4902F0337A7A83FB17BF07844A443 (HTTP 404); checked 2026-09-09T10:07:07.100Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
100253,JUPITER MEDICAL CENTER,FL,template-version-older-than-3,Price transparency file: JUPITER MEDICAL CENTER (CCN 100253),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.jupitermed.com/documents/content/59-1460239_jupiter-medical-center_standardcharges.csv declares a current date (2025-10-01) but template version 2.2.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://www.jupitermed.com/cms-hpt.txt (HTTP 206); file https://www.jupitermed.com/documents/content/59-1460239_jupiter-medical-center_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:07.780Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
104084,NEUROBEHAVIORAL HOSPITAL OF THE PALM BEACHES-NORTH,FL,automated-file-access-denied,Price transparency file: NEUROBEHAVIORAL HOSPITAL OF THE PALM BEACHES-NORTH (CCN 104084),Hello,,
We maintain an independent review of hospital price-transparency files. Automated retrieval of https://nbhospitals.com/standard-services/Pricing-guidelinesNeuro.csv is denied (HTTP 403) while your site publishes it. Could you whitelist automated access or provide a direct link?,,,,,,,
Recorded evidence: pointer https://nbhospitals.com/cms-hpt.txt (HTTP 403); file https://nbhospitals.com/standard-services/Pricing-guidelinesNeuro.csv (HTTP 403); checked 2026-09-09T10:07:08.003Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
