ccn,category,decision_question,roster_name,roster_address,header_name,header_location,header_state,declared_date,declared_version,pointer_url,file_url,blocker,options
031313,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HOLY CROSS HOSPITAL,"1171 WEST TARGET RANGE ROAD, NOGALES AZ 85621",Holy Cross Hospital-Silver Spring,Holy Cross Hospital-Silver Spring,MD,2026-03-31,3.0.0,https://www.holycrosshealth.org/sites/default/files/price-transparency/cms-hpt.txt,https://hpt.trinity-health.org/520738041-1669417838_holy-cross-hospital-silver-spring_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
040002,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),JOHNSON REGIONAL MEDICAL CENTER,"1100 EAST POPLAR STREET, CLARKSVILLE AR 72830",Johnson Regional Medical Center,Johnson Regional Medical Center,AR,2025-11-25,2.0.0,https://www.jrmc.com/cms-hpt.txt,https://www.jrmc.com/wp-content/uploads/2025/12/710403278_johnson-regional-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
040011,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CHAMBERS MEMORIAL HOSPITAL,"719 DETROIT STREET, DANVILLE AR 72833",Chambers Health,,,,,https://chambershealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/OHL3996173618/machine-readable/760153629_chambers-health_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
040069,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),GREAT RIVER MEDICAL CENTER,"1520 N DIVISION STREET, BLYTHEVILLE AR 72315",,,,,,https://mchsys.org/cms-hpt.txt,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/3da9ca85-20c5-41a0-bdcd-1c72cbc6cce2/716042625_MCHS-GREAT%20RIVER%20MEDICAL%20CENTER_standardcharges.zip,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
040782,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,"611 WEST LEE AVENUE, OSCEOLA AR 72370",,,,,,https://mchsys.org/cms-hpt.txt,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/340cba5b-23f2-476f-bd9f-b97e6c9f7afa/800370789_MCHS-SMC%20REGIONAL%20MEDICAL%20CENTER_standardcharges.zip,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
041313,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),OZARK HEALTH,"2500 HIGHWAY 65 SOUTH, CLINTON AR 72031",Ozark Health Inc.,Ozark Health,AR,2026-04-01,3.0.0,https://ozarkhealth.net/cms-hpt.txt,https://ozarkhealth.net/sites/default/files/pdf/710407683_ozark-health-inc_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
050236,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ADVENTIST HEALTH SIMI VALLEY,"2975 N SYCAMORE DR, SIMI VALLEY CA 93065",SIMI VALLEY HOSPITAL AND HEALTH CARE SERVICES,SIMI VALLEY HOSPITAL AND HEALTH CARE SERVICES,CA,2026-05-21,3.0.0,https://www.adventisthealth.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHSVSIMIVALLEYCA&type=CDMWithoutLabel&fileType=CSV,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
050309,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SUTTER ROSEVILLE MEDICAL CENTER,"ONE MEDICAL PLAZA, ROSEVILLE CA 95661",Sutter Roseville Medical Center,Sutter Roseville Medical Center,CA,2026-04-01,3.0.0,https://www.sutterhealth.org/cms-hpt.txt,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/941156621-1356390264_sutter-roseville-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
050704,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MISSION COMMUNITY HOSPITAL,"14850 ROSCOE BLVD, PANORAMA CITY CA 91402",MISSION HOSPITAL,MISSION MAMA|SOUTH ASHEVILLE ER|MISSION HOSPITAL,NC,2026-03-01,3.0.0,https://www.missionhealth.org/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/83-2048706_MISSION-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
050763,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),L A DOWNTOWN MEDICAL CENTER,"1711 WEST TEMPLE STREET, LOS ANGELES CA 90026",LA Downtown Medical Center,Los Angeles,CA,2024-07-01,3.0.0,https://ladowntownmc.com/cms-hpt.txt,https://ladowntownmc.com/downloads/841913047_LA-DOWNTOWN-MEDICAL-CENTER_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
060022,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),UCH-MEMORIAL HEALTH SYSTEM,"1400 E BOULDER ST, COLORADO SPRINGS CO 80909",UCHMHS,UCHealth Memorial Hospital Central,CO,2025-11-01,3.0.0,https://www.uchealth.org/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/8076/460796114-1144397134_uchmhs_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
060030,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BANNER NORTH CO MEDICAL CENTER - LOVELAND CAMPUS,"2000 BOISE AVE, LOVELAND CO 80538",Banner North Colorado Medical Center - Loveland Campus,Banner North Colorado Medical Center - Loveland Campus|Banner North Colorado Medical Center - Loveland Campus,CO,2026-03-02,3.0.0,https://www.bannerhealth.com/cms-hpt.txt,https://images.pricetransparency.healthcare/public-mrfs/banner/841287638_banner-north-colorado-medical-center--loveland-campus_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
061303,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),EAST MORGAN COUNTY HOSPITAL,"2400 W EDISON ST, BRUSH CO 80723",East Morgan County Hospital,East Morgan County Hospital,CO,2026-02-12,3.0.0,https://www.bannerhealth.com/cms-hpt.txt,https://images.pricetransparency.healthcare/public-mrfs/banner/840826336_east-morgan-county-hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
061325,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),EASTERN RIO BLANCO COUNTY HEALTH SERVICE DISTRICT,"100 PIONEERS MEDICAL CENTER DR, MEEKER CO 81641",,,,,,https://www.pioneershospital.org/cms-hpt.txt,https://www.pioneershospital.org/wp-content/uploads/2025/10/870788731_pioneers-medical-center_shoppable.csv.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
070025,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HARTFORD HOSPITAL,"80 SEYMOUR STREET, HARTFORD CT 06102",HARTFORD HOSPITAL,HARTFORD HOSPITAL,CT,2026-04-01,3.0.0,,https://hartfordhealthcare.org/file%20library/price%20data/060646668_hartford_hospital_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
070036,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),JOHN DEMPSEY HOSPITAL OF THE UNIVERSITY OF CONNECT,"263 FARMINGTON AVE, FARMINGTON CT 06032",State of Connecticut,John Dempsey Hospital,CT,2026-07-01,3.0.0,https://health.uconn.edu/cms-hpt.txt,https://uconnhealth.pt.panaceainc.com/MRFDownload/uconnhealth/uconnhealth,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
074016,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MASONICARE HEALTH CENTER,"22 MASONIC AVE BLDG STURGES, WALLINGFORD CT 06492",Masonicare Health Center,Masonicare Health Center ,CT,2025-01-01,2.0.0,https://www.masonicare.org/cms-hpt.txt,https://www.masonicare.org/download_file/view/1743/1,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
100204,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HCA FLORIDA NORTH FLORIDA HOSPITAL,"6500 W NEWBERRY RD, GAINESVILLE FL 32605",HCA FLORIDA NORTH FLORIDA HOSPITAL,HCA FLORIDA WEST END EMERGENCY|HCA FLORIDA GAINESVILLE FSER|HCA FLORIDA MILLHOPPER EMERGENCY|HCA FLORIDA STARKE EMERGENCY|HCA FLORIDA NORTH FLORIDA HOSPITAL,FL,2026-05-05,3.0.0,https://www.hcafloridahealthcare.com/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/61-1269294_HCA-FLORIDA-NORTH-FLORIDA-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
100330,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HALIFAX HEALTH /UF HEALTH MEDICAL CENTER OF DELTON,"3300 HALIFAX CROSSINGS BLVD, DELTONA FL 32725",medical center of deltona inc,Medical Center of Deltona,FL,2026-08-05,3.0.0,https://halifaxhealth.org/cms-hpt.txt,https://halifax.pt.panaceainc.com/MRFDownload/halifax/deltona,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
110128,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MEMORIAL HEALTH MEADOWS HOSPITAL,"ONE MEADOWS PARKWAY, VIDALIA GA 30474",MEMORIAL HEALTH MEADOWS HOSPITAL,MEMORIAL HEALTH MEADOWS HOSPITAL,GA,2026-03-01,3.0.0,https://www.memorialhealth.com/cms-hpt.txt,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/85-2556972_MEMORIAL-HEALTH-MEADOWS-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
110236,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),COMMONSPIRIT-MEMORIAL HOSPITAL-NORTH GEORGIA,"4710 BATTLEFIELD PARKWAY, RINGGOLD GA 30736",CHI MEMORIAL HOSPITAL - GEORGIA,CHI Memorial Hospital - Georgia,GA,2026-02-28,3.0.0,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/content/dam/commonspiritorg/en/chime/sotg/finance/price-transparency/822748395-1356860621_chi-memorial-hospital-georgia_standardcharges.json,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
110253,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SOUTH GEORGIA SPECIALTY HOSPITAL,"2000 PALMYRA RD 3RD FLOOR, ALBANY GA 31701",South Georgia Specialty Hospital,South Georgia Specialty Hospital,GA,2025-01-01,2.0.0,https://southgeorgiaspecialtyhospital.com/cms-hpt.txt,https://southgeorgiaspecialtyhospital.com/wp-content/uploads/2025/05/844617179_affabilis-ii-llc-dba-south-georgia-specialty-hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
140119,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),RUSH UNIVERSITY MEDICAL CENTER,"1653 WEST CONGRESS PARKWAY, CHICAGO IL 60612",RUSH University Medical Center,RUSH University Medical Center,IL,2026-07-22,3.0.0,https://www.rush.edu/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRUMCCHICAGOIL&type=CDMWithoutLabel&fileType=CSV,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
140148,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MEMORIAL MEDICAL CENTER,"701 N FIRST ST, SPRINGFIELD IL 62702",Memorial Medical Center dba Springfield Memorial Hospital,"Springfield, IL",IL,2026-02-10,3.0.0,https://memorial.health/cms-hpt.txt,https://memorial.health/Resources/452b1df1-ad01-4063-a729-31a091660635/370661220_Springfield_Memorial_Hospital_standardcharges.csv?v=2,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
140172,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,"20201 S CRAWFORD AVENUE, OLYMPIA FIELDS IL 60461","FRANCISCAN ALLIANCE, INC. dba FRANCISCAN HEALTH OLYMPIA FIELDS",FRANCISCAN HEALTH OLYMPIA FIELDS,IL,2026-01-01,3.0.0,https://www.franciscanhealth.org/cms-hpt.txt,https://images.franciscanhealth.org/pdfs/enterprise/price_transparency/362167869_franciscan-health-olympia-fields_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
140180,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,"2233 W DIVISION ST, CHICAGO IL 60622",St. Alexius Medical Center,Ascension St. Alexius| Ascension Saint Alexius Women and Children's Hospital,IL,2026-01-01,3.0.0,https://healthcare.ascension.org/-/media/Healthcare/cms-hpt.txt,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il-csv/364251846_st-alexius-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
140184,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HEARTLAND REGIONAL MEDICAL CENTER,"3333 W DEYOUNG, MARION IL 62959",Deaconess Regional Healthcare Services Illinois Inc,Deaconess Illinois Medical Center,IL,2026-02-03,3.0.0,https://deaconess.com/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/10475/810693478_deaconess-regional-healthcare-services-illinois-inc_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
141330,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HOPEDALE HOSPITAL,"107 TREMONT STREET, HOPEDALE IL 61747",Hopedale Medical Complex,Hopedale Medical Complex,IL,2026-04-06,3.0.0,,https://hopedalemc.com/docs/370808925_hopedale-medical-foundation_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
141335,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MERCY HARVARD HOSPITAL,"901 S GRANT STREET, HARVARD IL 60033",Mercyhealth Hospital & Medical Center - Harvard,Mercyhealth Hospital & Medical Center - Harvard|Harvard Care Center,IL,2026-03-01,3.0.0,https://res.cloudinary.com/dpmykpsih/raw/upload/mercyhealth-site-398/media/18f42ccebb5847e98aa8a810d0c7b763/cms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/fl_attachment/mercyhealth-site-398/media/2d1cbb17b353441aab7c37d9b22f6c99/311551871-mercyharvardhospital-standardchargers.json,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
141353,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),IROQUOIS MEMORIAL HOSPITAL,"200 FAIRMAN STREET, WATSEKA IL 60970",Iroquois Memorial Hospital,IroquoisMemorialHospital|Iroquois Memorial Hospital,IL,,2,https://iroquoismemorial.com/cms-hpt.txt,https://iroquois.slicedhealth.io/pricer/37-0673512_IroquoisMemorialHospital_standardcharges.CSV,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
150051,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,"601 W SECOND ST, BLOOMINGTON IN 47403",Indiana University Health Bloomington Inc.,IU Health Bloomington Hospital,IN,2026-03-25,3.0,https://cdn.iuhealth.org/global/cms-hpt.txt,https://cdn.iuhealth.org/resources/351720796_indiana-university-health-bloomington-inc._standardcharges.zip,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
150193,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),FRANCISCAN HEALTH ORTHOPEDIC HOSPITAL CARMEL,"10777 N ILLINOIS ST, CARMEL IN 46032","FRANCISCAN ALLIANCE, INC. dba FRANCISCAN HEALTH ORTHOPEDIC HOSPITAL - CARMEL",FRANCISCAN HEALTH ORTHOPEDIC HOSPITAL - CARMEL,IN,2025-07-01,2.0.0,https://www.franciscanhealth.org/cms-hpt.txt,https://images.franciscanhealth.org/pdfs/enterprise/price_transparency/350913537_franciscan-health-orthopedic-carmel_standardcharges.zip,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
151322,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PERRY COUNTY MEMORIAL HOSPITAL,"8885 SR 237, TELL CITY IN 47586",PERRY COUNTY MEMORIAL HOSPITAL,PERRY COUNTY MEMORIAL HOSPITAL,IN,2026-06-08,3.0.0,https://www.pchospital.org/cms-hpt.txt,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/24038e54-d9a2-4236-9081-ad3af29792c7/351121699_PERRY-COUNTY-MEMORIAL-HOSPITAL_standardcharges.zip,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
151329,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MARGARET MARY COMMUNITY HOSPITAL INC,"321 MITCHELL AVE, BATESVILLE IN 47006",Margaret Mary Health,Margaret Mary Health,OH,2026-04-08,2.0.0,,https://www.mmhealth.org/wp-content/uploads/2026/06/356067049_Margaret-Mary-Health_standardcharges-2.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
154018,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),RICHMOND STATE HOSPITAL,"498 NW 18TH ST, RICHMOND IN 47374",Richmond State Hospital,Richmond State Hospital,IN,2026-01-13,2.0.0,https://www.in.gov/fssa/dmha/state-psychiatric-hospitals/cms-hpt.txt,https://www.in.gov/fssa/dmha/files/356000158-Richmond-State-Hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
161329,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),JACKSON COUNTY REGIONAL HEALTH CENTER,"700 W GROVE ST, MAQUOKETA IA 52060",,,,,,https://jcrhc.org/cms-hpt.txt,https://jcrhc.org/wp-content/uploads/426037868_jackson-county-public-hospital_shoppable.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
170006,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),"MERCY HOSPITAL PITTSBURG, INC","1 MT CARMEL WAY, PITTSBURG KS 66762","Ascension NE Wisconsin, Inc.",Ascension NE Wisconsin - Mercy Campus,WI,2026-01-01,3.0.0,https://healthcare.ascension.org/-/media/Healthcare/cms-hpt.txt,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/wi-csv/390816818-1912527193_ascension-ne-wisconsin-inc-fka-st-elizabeth-hospital-inc_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
171385,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),COFFEY COUNTY HOSPITAL,"801 NORTH 4TH STREET, BURLINGTON KS 66839",Coffey County Hospital,Coffey County Hospital Main Campus,KS,2024-11-06,2.0.0,https://coffeyhealth.org/communities/coffeyhealth2020-2/cms-hpt.txt,https://coffeyhealth.org/Documents/480860883_Coffey_County_Hospital_Standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
171386,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MORTON COUNTY HOSPITAL,"445 HILLTOP STREET, ELKHART KS 67950",Morton County Health System,,,,,https://mchswecare.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/TAIU-1724338504629/machine-readable/48-0818854_morton-county-health-system_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
190241,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PHYSICIANS MEDICAL CENTER,"218 CORPORATE DRIVE, HOUMA LA 70360",,,,,,https://www.physicianshouma.com/cms-hpt.txt,https://www.tghealthsystem.com/documents/price transparency/721275428_physicians-medical-center_standardcharges.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
