ccn,hospital_name,url,pointerUrl,sourcePageUrl,location_name,pointerCheckedAt,pointerSha256,score,http_status,file_kind,header_name,header_location,header_address,header_state,identity,identity_basis,date,version,metadata,checked_at,error
010007,MIZELL MEMORIAL HOSPITAL,https://www.mizellmh.com/docs/630307951_mizell-memorial-hospital-inc-medical-clinic-1_standardcharges.csv,,https://www.mizellmh.com/getpage.php?name=Hospital_Pricing&sub=Patient%20%26%20Visitors,Medical Clinic 1 Charges click here,,,0,206,csv,"Mizell Memorial Hospital, Inc.",Mizell Memorial Medical Clinic 1,"802 North Main St, Opp, AL, 36467",AL,mrf-header-name-without-location,,2026-03-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:27.417Z,
010007,MIZELL MEMORIAL HOSPITAL,https://www.mizellmh.com/docs/630307951_mizell-memorial-hospital-inc-medical-clinic-2_standardcharges.csv,,https://www.mizellmh.com/getpage.php?name=Hospital_Pricing&sub=Patient%20%26%20Visitors,Medical Clinic 2 Charges click here,,,0,206,csv,"Mizell Memorial Hospital, Inc.",Mizell Memorial Medical Clinic 2,"103 East Memorial Ave, Opp, AL, 36467",AL,mrf-header-name-without-location,,2026-03-27,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:28.831Z,
010007,MIZELL MEMORIAL HOSPITAL,"https://www.mizellmh.com/docs/630307951_Mizell-Memorial-Hospital,-Inc._standardcharges.csv",,,,,,0,206,csv,"Mizell Memorial Hospital, Inc.",Mizell Memorial Hospital,"702 N Main St, PO Box 1010, Opp, AL, 36467",AL,corroborated,file-name-and-address,2025-01-01,2.0.0,date-over-365-days,2026-09-09T01:47:29.534Z,
014006,MOUNTAIN VIEW HOSPITAL,https://www.mtnviewhospital.com/transparency/631050236_mountain-view-hospital_standardcharges.csv,,https://www.mtnviewhospital.com/cms-price-transparency-guide/,CMS Price Transparency,,,0,206,csv,MountainView Hospital,MountainView Hospital,"3001 Scenic Highway Gadsden,  AL  35904",AL,mrf-header-does-not-match-unresolved-roster,,2024-12-04,2.0.0,date-over-365-days,2026-09-09T01:47:28.851Z,
011304,OCHSNER CHOCTAW GENERAL,https://ochsner-craft.s3.amazonaws.com/core/720502505_ochsner-clinic-foundation_standardcharges.csv_2026-03-26-204318_iros.csv,,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates/,Ochsner Medical Center,,,0,206,csv,OCHSNER CLINIC FOUNDATION,OCHSNER MEDICAL CENTER|OCHSNER MEDICAL CENTER- West Campus|Ochsner Medical Center - West Bank Campus|Ochsner Baptist|Ochsner Hospital for Orthopedics and Sports Medicine|Ochsner Medical Complex � Clearview,"1516 Jefferson Highway New Orleans, LA 70121|2614 Jefferson Highway, 3rd fl, Jefferson, LA 70121|2500 Belle Chasse Hwy Gretna, LA 70056|2700 Napoleon Ave New Orleans, LA 70115|1221 S. Clearview Pkwy, Bldg. A 1st Floor Jefferson, LA 70121|4430 Veterans Memorial Blvd.Metairie, LA 70006",LA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:28.861Z,
011304,OCHSNER CHOCTAW GENERAL,https://ochsner-craft.s3.amazonaws.com/core/205432782_ochsner-medical-center-%E2%80%93-kenner-llc_standardcharges.csv_2026-03-26-185111_faht.csv,,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates/,Ochsner Medical Center - Kenner,,,0,206,csv,OCHSNER MEDICAL CENTER � KENNER LLC,OCHSNER MEDICAL CENTER � KENNER,"180 West Esplanade Ave Kenner, LA 70065",LA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:28.882Z,
011304,OCHSNER CHOCTAW GENERAL,https://ochsner-craft.s3.amazonaws.com/core/462743282_southern-regional-medical-corporation_standardcharges.csv_2026-03-26-182832_owqn.csv,,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates/,Leonard J. Chabert Medical Center,,,0,206,csv,SOUTHERN REGIONAL MEDICAL CORPORATION,LEONARD J. CHABERT MEDICAL CENTER,"1978 Industrial Boulevard, Houma, LA 70363-7055",LA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:29.221Z,
011304,OCHSNER CHOCTAW GENERAL,https://ochsner-craft.s3.amazonaws.com/core/822869576_ochsner-medical-center-%E2%80%93-hancock-llc_standardcharges.csv_2026-03-26-181953_akak.csv,,https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates/,Ochsner Medical Center - Hancock,,,0,206,csv,OCHSNER MEDICAL CENTER � HANCOCK LLC,OCHSNER MEDICAL CENTER � HANCOCK,"149 Drinkwater Road, Bay St. Louis, MS 39520-1658",LA,mrf-header-does-not-match-unresolved-roster,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:29.482Z,
010065,RUSSELL MEDICAL CENTER,https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv,,https://russellcares.com/price-transparency,Download the Russell Medical Machine-Readable File,,,0,206,csv,Russell Medical Center,Russell Medical Center,"3316 Hwy 280, Alexander City AL 35010, AL 35010",AL,corroborated,file-name-and-address,2025-06-15,2.0.0,date-over-365-days,2026-09-09T01:47:29.515Z,
011306,TANNER MEDICAL CENTER-EAST ALABAMA,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/581790149_Tanner-Medical-Center---Carrollton_standardcharges.csv,,https://www.tanner.org/patients-and-visitors/billing-and-financial-resources/price-transparency,Tanner Medical Center/Carrollton,,,0,206,csv,Tanner Medical Center - Carrollton,Tanner Health System|Tanner Medical Center - Carrollton,"705 Dixie St,Carrollton,GA,30117",GA,mrf-header-identity-and-location-agree,,2026-03-24,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:29.613Z,
011306,TANNER MEDICAL CENTER-EAST ALABAMA,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/582453303_Tanner-Medical-Center---Villa-Rica_standardcharges.csv,,https://www.tanner.org/patients-and-visitors/billing-and-financial-resources/price-transparency,Tanner Medical Center/Villa Rica,,,0,206,csv,Tanner Medical Center - Villa Rica,Tanner Health System|Tanner Medical Center - Villa Rica,"601 Dallas Rd,Villa Rica,GA,30180",GA,mrf-header-identity-and-location-agree,,2026-03-24,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:29.617Z,
011306,TANNER MEDICAL CENTER-EAST ALABAMA,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/475348597_Tanner-Medical-Center---East-Alabama_standardcharges.csv,,https://www.tanner.org/patients-and-visitors/billing-and-financial-resources/price-transparency,Tanner Medical Center/East Alabama,,,0,206,csv,Tanner Medical Center - East Alabama,Tanner Health System|Tanner Medical Center - East Alabama,"1032 Main St S,Wedowee,AL,36278",AL,corroborated,file-name-and-address,2026-03-24,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:29.652Z,
011306,TANNER MEDICAL CENTER-EAST ALABAMA,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/582414416_Higgins-General-Hospital_standardcharges.csv,,https://www.tanner.org/patients-and-visitors/billing-and-financial-resources/price-transparency,Higgins General Hospital,,,0,206,csv,Higgins General Hospital,Tanner Health System|Higgins General Hospital,"200 Allen Memorial Dr,Bremen,GA,30110",GA,mrf-header-identity-and-location-agree,,2026-03-24,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:29.665Z,
011306,TANNER MEDICAL CENTER-EAST ALABAMA,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/475348597_Tanner-Medical-Center-East-Alabama_standardcharges.csv,,,,,,0,404,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:30.740Z,
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,https://www.rmcca.com/Uploads/Public/Documents/822445000_the-health-care-authority-of-city-of-greenville---lv-stabler_standardcharges.csv,,,,,,0,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:30.023Z,Parse Error: Invalid header token
010126,TROY REGIONAL MEDICAL CENTER,https://troymedicalcenter.com/wp-content/uploads/2026/03/271534178_Troy-Regional-Medical-Center_standardcharges.xlsx,,https://troymedicalcenter.com/patients-visitors/list-of-standard-charges-or-shoppable-services/,Excel,,,0,206,unknown,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:30.056Z,
010126,TROY REGIONAL MEDICAL CENTER,https://troymedicalcenter.com/wp-content/uploads/2026/03/271534178_Troy-Regional-Medical-Center_standardcharges.csv,,https://troymedicalcenter.com/patients-visitors/list-of-standard-charges-or-shoppable-services/,CSV,,,0,206,csv,Troy Regional Medical Center,Troy Regional Medical Center,"1330 U. S. Highway 231 South, Troy, AL 36081",AL,corroborated,file-name-and-address,2025-12-31,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:30.117Z,
010126,TROY REGIONAL MEDICAL CENTER,https://www.troymedicalcenter.com/wp-content/uploads/2024/12/271534178_the-troy-hospital-health-care-authority_standardcharges-1.csv,,,,,,0,206,csv,Troy Regional Medical Center,"Troy, Alabama","1331 Highway 231 South, Troy, AL 36081",AL,mrf-header-name-without-location,,2024-12-31,1,date-over-365-days,2026-09-09T01:47:30.124Z,
010112,WHITFIELD REGIONAL HOSPITAL,https://whitfield.pt.panaceainc.com/MRFDownload/whitfield/whitfield,,https://whitfieldregionalhospital.com/price-transparency/,Whitfield Regional Hospital Machine-Readable File,,,0,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:30.205Z,socket hang up
040039,ARKANSAS METHODIST MEDICAL CENTER,https://drive.google.com/file/d/1VaWrohdIhUJ1vUflQNkwPMvx-zxUCqZU/view?usp=sharing,,,,,,0,200,html,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:30.363Z,
040011,CHAMBERS MEMORIAL HOSPITAL,https://secure.claraprice.net/price-transparency/OHL3996173618/machine-readable/760153629_chambers-health_standardcharges.json,https://chambershealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/chambers-health-tx,Chambers Health,2026-09-09T01:42:40.585Z,b8b591fa5c786d813652fa5084848c0af1e6aa66012203f3b309db55eb1ea89e,0.625,200,json,Chambers Health,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:30.370Z,
040069,GREAT RIVER MEDICAL CENTER,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/3da9ca85-20c5-41a0-bdcd-1c72cbc6cce2/716042625_MCHS-GREAT%20RIVER%20MEDICAL%20CENTER_standardcharges.zip,https://www.mchsys.org/cms-hpt.txt,https://www.yourcareeverywhere.com/content/medhost/your-care-everywhere/pricing-estimator-page.html?facility_id=3da9ca85-20c5-41a0-bdcd-1c72cbc6cce2,Great River Medical Center,2026-09-09T01:42:41.347Z,c3676cd5b9de67fa2dcf6258b9c7f6e9250c8c81d1e7490f950d16cfbfb29b99,1,206,csv,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:30.381Z,
040002,JOHNSON REGIONAL MEDICAL CENTER,https://www.jrmc.com/wp-content/uploads/2025/12/710403278_johnson-regional-medical-center_standardcharges.csv,https://www.jrmc.com/cms-hpt.txt,https://www.jrmc.com/billing-services/,Johnson Regional Medical Center,2026-09-09T01:42:41.247Z,3529b081a1f14c06148a3ce19b2465b32d63c01506e9a1687b5d83d340c44183,1,206,csv,Johnson Regional Medical Center,Johnson Regional Medical Center,"110 East Poplar Street, Clarksville, AR 72830",AR,mrf-header-name-without-location,,2025-11-25,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:30.637Z,
041309,LAWRENCE MEMORIAL HOSPITAL,https://www.lawrencegeneral.org/LawrenceGeneral/media/PDF-Docs/042103586_LawerenceGeneralHospital_standardcharges.csv,https://www.mhlawrencehospital.org/cms-hpt.txt,https://www.lawrencegeneral.org/your-visit/billing-and-financial-assistance/price-transparency,Lawrence General Hospital,2026-09-09T01:42:41.852Z,f602f1a77bd0c6e2ae66c7f4febf63ca178b3fac46c65e712dd590514222794e,0.8125,404,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:30.673Z,
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,https://www.narmc.com/images/710787860_north-arkansas-regional-medical-center_standardcharges.csv,https://www.narmc.com/cms-hpt.txt,https://www.narmc.com/bill-pay/price-transparency,North Arkansas Regional Medical Center,2026-09-09T01:42:42.482Z,96e998d328a6c7a47c36be5ec0b3262c183c1604c34bbaa44e32b4846d9c4ad1,1,206,csv,North Arkansas Regional Medical Center,North Arkansas Regional Medical Center,"620 North Main Street, Harrison, AR 72601",AR,corroborated,file-name-and-address,2025-11-25,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:30.684Z,
041313,OZARK HEALTH,https://ozarkhealth.net/sites/default/files/pdf/710407683_ozark-health-inc_standardcharges.csv,,https://ozarkhealth.net/price-transparency,Click Here for Machine Readable File,,,0,206,csv,Ozark Health Inc.,Ozark Health,"2500 Highway 65 South, Clinton, AR, 72031-6588",AR,corroborated,file-name-and-address,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:30.861Z,
041330,PIGGOTT COMMUNITY HOSPITAL,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbPCHPIGGOTTAR&type=CDM&fileType=CSV,https://piggotthealthsystem.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Piggottcommunity.aspx,Piggott Community Hospital,2026-09-09T01:42:42.488Z,b02923b14c7f4b5e00ccd87e9980d0307015663e41fcd1504ed090be4cd48048,1,200,csv,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT COMMUNITY HOSPITAL,1206 Gordon Duckworth Dr Piggott AR 72454,AR,corroborated,file-name-and-address,2026-04-02,3.00,date-within-365-days-version-3,2026-09-09T01:47:30.979Z,
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/340cba5b-23f2-476f-bd9f-b97e6c9f7afa/800370789_MCHS-SMC%20REGIONAL%20MEDICAL%20CENTER_standardcharges.zip,https://www.mchsys.org/cms-hpt.txt,https://www.yourcareeverywhere.com/content/medhost/your-care-everywhere/pricing-estimator-page.html?facility_id=340cba5b-23f2-476f-bd9f-b97e6c9f7afa,South Mississippi Regional Medical Center,2026-09-09T01:42:41.347Z,c3676cd5b9de67fa2dcf6258b9c7f6e9250c8c81d1e7490f950d16cfbfb29b99,0.7435897435897435,206,csv,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:31.012Z,
040164,UNITY HEALTH - JACKSONVILLE,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://www.unity-health.org/patients-visitors/pricing/,Unity Health - Jacksonville,2026-09-09T01:42:43.921Z,4ed681b955f9316848755ccd1352c56a23f67331474733bbf3829213216a1551,1,206,json,Unity Health - Jacksonville,Unity Health - Jacksonville,"1400 Braden Street, Jacksonville, AR 72076",AR,corroborated,file-name-and-address,2025-03-01,2.2.0,date-over-365-days,2026-09-09T01:47:31.340Z,
041332,UNITY HEALTH - NEWPORT,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://www.unity-health.org/patients-visitors/pricing/,Unity Health - Newport,2026-09-09T01:42:43.921Z,4ed681b955f9316848755ccd1352c56a23f67331474733bbf3829213216a1551,1,206,json,Unity Health - Newport,Unity Health - Newport,"1205 Mclain Street, Newport, AR 72112",AR,corroborated,file-name-and-address,2025-03-01,2.2.0,date-over-365-days,2026-09-09T01:47:31.400Z,
040014,WHITE COUNTY MEDICAL CENTER,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://www.unity-health.org/patients-visitors/pricing/,Unity Health - White County Medical Center,2026-09-09T01:42:43.921Z,4ed681b955f9316848755ccd1352c56a23f67331474733bbf3829213216a1551,0.6666666666666666,206,json,Unity Health White County Medical Center,Unity Health White County Medical Center,"3214 East Race Avenue, Searcy, AR 72143",AR,corroborated,file-name-and-address,2025-03-01,2.2.0,date-over-365-days,2026-09-09T01:47:31.550Z,
640001,LBJ TROPICAL MEDICAL CENTER,http://rca.elevatepfs.com/ptapp/api/cdm/export/oneclick?recno=8bd0a45af1f0f9b2a7d56f47dc7f9363623b9324d22929343acea9cf6fac83b9,https://lbjtmc.org/cms-hpt.txt,https://lbjtmc.org/,LBJ Tropical Medical Center,2026-09-09T01:42:42.841Z,ad43ff0d75df06516d4e96f0ee8b764fceedf587c2c92dd27df8eff0c74ba69e,1,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:31.737Z,request deadline exceeded
034035,AVENIR BEHAVIORAL HEALTH CENTER,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759426049/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmhxc3h3-avenir-senior-living/uploads/cms-hptt_ggurj3.txt,https://www.avenirseniorliving.com/senior-living/az/surprise/behavioral-health/pricing-transparency,Avenir Behavioral Center,2026-09-09T01:42:43.064Z,b0e0ec886e64e010514ee02b17c35745813a843f850d9cfe86e447f823301496,0.8846153846153847,200,csv,Avenir Behavioral health Center,Avenir Behavioral health Center,"16561 N PARKVIEW PLACE, SURPRISE AZ 85374",AZ,corroborated,file-name-and-address,2025-09-30,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:31.754Z,
034013,COLLEGE MEDICAL CENTER PHOENIX,https://cmcphoenix.com/331313844_college-medical-center-phoenix_standardcharges-3/,https://cmcphoenix.com/cms-hpt.txt,https://cmcphoenix.com/price-transparency/,College Medical Center Phoenix,2026-09-09T01:42:42.954Z,272b2e24d4cc770242ad25d12b0b735445512cc5e38bd2e96910db6fe2b7e23e,1,200,csv,College Medical Center - Phoenix,College Medical Center - Phoenix,"1800 E. Van Buren Street, Phoenix, AZ 85006",AZ,corroborated,file-name-and-address,2026-03-11,1,date-within-365-days-older-version,2026-09-09T01:47:31.818Z,
034034,DESTINY SPRINGS HEALTHCARE,https://www.destinyspringshealthcare.com/files/81-4160201_Destiny-Springs-Healthcare_standardcharges.csv,https://5798232a-0473-45d2-b484-accd085e50e0.usrfiles.com/ugd/579823_c1d62be5375442a28d99445b448b1c3e.txt,https://www.destinyspringshealthcare.com/price-transparency,Destiny Springs Healthcare,2026-09-09T01:42:43.262Z,ccccc92d5d4a9309acca28ceaf924e4bd316ff2fa2980642b9048b4150c25310,1,404,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:31.829Z,
030153,EAST VALLEY ER & HOSPITAL,https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv,https://eastvalleyhospital.com/cms-hpt.txt,https://eastvalleyhospital.com/price-transparency/,East Valley ER & Hospital,2026-09-09T01:42:43.069Z,e746d2f89bf9d6598765309d71e0f364049f2f11a7be9fdd28e4f196c15e5b06,1,200,csv,East Valley ER & Hospital,East Valley ER & Hospital,"5656 S Power Rd, Gilbert, AZ 85295",AZ,corroborated,file-name-and-address,2025-10-10,2.1.0,date-within-365-days-older-version,2026-09-09T01:47:31.832Z,
031313,HOLY CROSS HOSPITAL,https://hpt.trinity-health.org/520738041-1669417838_holy-cross-hospital-silver-spring_standardcharges.zip,,https://holycrosshealth.org/for-patients/billing-financial-assistance-and-insurance/charge-estimates,CMS Machine-Readable File (MRF),,,0,206,csv,Holy Cross Hospital-Silver Spring,Holy Cross Hospital-Silver Spring,"1500 Forest Glen Rd, Silver Spring, MD 20910",MD,mrf-header-does-not-match-unresolved-roster,,2026-03-31,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:31.962Z,
031313,HOLY CROSS HOSPITAL,https://hpt.trinity-health.org/520738041-1245655638_holy-cross-germantown-hospital_standardcharges.zip,,https://holycrosshealth.org/for-patients/billing-financial-assistance-and-insurance/charge-estimates,CMS Machine-Readable File (MRF),,,0,206,csv,Holy Cross Germantown Hospital,Holy Cross Germantown Hospital,"19801 Observation Dr, Germantown, MD 20876",MD,mrf-header-identity-and-location-agree,,2026-03-31,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:31.980Z,
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,https://hospitalpricedisclosure.com/download.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-*,https://summithealthcare.net/cms-hpt.txt,https://hospitalpricedisclosure.com/default.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-*,Summit Healthcare Regional Medical Center,2026-09-09T01:42:43.333Z,d0737c252cc0a30af3804fabd5de919182b28313d97fee11758ce518354e478c,1,206,json,Summit Healthcare Regional Medical Center,Summit Healthcare Regional Medical Center,"2200 East Show Low Lake Road, Show Low, AZ 85901",AZ,corroborated,file-name-and-address,2025-01-01,2.2.0,date-over-365-days,2026-09-09T01:47:32.030Z,
