ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at,recorded_pointer_url,recorded_mrf_url,queue,next_action,evidence_file,evidence_key
010148,EVERGREEN MEDICAL CENTER,AL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:06.448Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010148
010045,FAYETTE MEDICAL CENTER,AL,compliant-date-unverified,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.997Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010045
010019,HELEN KELLER HOSPITAL,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.315Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010019
010061,HIGHLANDS MEDICAL CENTER,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:07.321Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010061
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,pointer-blocked-to-automation,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:16.647Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,014000
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,mrf-url-unreachable,identity-or-format-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:25.525Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,010168
011311,LAKELAND COMMUNITY HOSPITAL,AL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:35.373Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,011311
010007,MIZELL MEMORIAL HOSPITAL,AL,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:35.420Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,010007
014006,MOUNTAIN VIEW HOSPITAL,AL,mrf-stale-over-365-days,identity-or-format-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:35.515Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,014006
011304,OCHSNER CHOCTAW GENERAL,AL,not-assessed-not-named-in-file,identity-or-format-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:35.592Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,011304
011302,RED BAY HOSPITAL,AL,not-assessed-not-named-in-file,pointer-or-domain-review,HTTP 302,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:35.641Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,011302
010065,RUSSELL MEDICAL CENTER,AL,no-cms-hpt-txt-published,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:35.735Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,010065
011306,TANNER MEDICAL CENTER-EAST ALABAMA,AL,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:35.924Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,011306
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,mrf-stale-over-365-days,pointer-or-domain-review,HTTP Client network socket disconnected before secure TLS connection was established,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:36.034Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010150
010126,TROY REGIONAL MEDICAL CENTER,AL,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:36.079Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,010126
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP 406,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:36.404Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010118
010112,WHITFIELD REGIONAL HOSPITAL,AL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:36.484Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010112
040039,ARKANSAS METHODIST MEDICAL CENTER,AR,compliant-date-unverified,identity-or-format-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:36.829Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,040039
044011,ARKANSAS STATE HOSPITAL,AR,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:37.535Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,044011
040147,ARKANSAS SURGICAL HOSPITAL,AR,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:40.969Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,040147
040011,CHAMBERS MEMORIAL HOSPITAL,AR,compliant-date-unverified,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://chambershealth.org/cms-hpt.txt,,,,,2026-09-09T01:42:40.585Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,040011
040069,GREAT RIVER MEDICAL CENTER,AR,mrf-stale-over-365-days,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://www.mchsys.org/cms-hpt.txt,,,,,2026-09-09T01:42:41.347Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,040069
040002,JOHNSON REGIONAL MEDICAL CENTER,AR,old-template-version,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://www.jrmc.com/cms-hpt.txt,,,,,2026-09-09T01:42:41.247Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,040002
041309,LAWRENCE MEMORIAL HOSPITAL,AR,mrf-url-unreachable,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.mhlawrencehospital.org/cms-hpt.txt,,,,,2026-09-09T01:42:41.852Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,041309
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.narmc.com/cms-hpt.txt,https://www.narmc.com/images/710787860_north-arkansas-regional-medical-center_standardcharges.csv,2025-11-25,2.0.0,https://www.narmc.com/bill-pay/price-transparency,2026-09-09T01:47:30.684Z,,,Publisher metadata review,Review the draft against the saved header and current CMS data dictionary; request the current file or clarification.,file-evidence.csv,040017
040022,NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,not-assessed-site-unreachable,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:42.344Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,040022
041313,OZARK HEALTH,AR,not-assessed-not-named-in-file,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:42.218Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,041313
044021,PERIMETER BEHAVIORAL HOSPITAL OF WEST MEMPHIS,AR,not-assessed-not-named-in-file,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:06.043Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,044021
040001,SILOAM SPRINGS REGIONAL HOSPITAL,AR,not-assessed-site-unreachable,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:42.344Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,040001
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,AR,mrf-stale-over-365-days,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://www.mchsys.org/cms-hpt.txt,,,,,2026-09-09T01:42:41.347Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,040782
040164,UNITY HEALTH - JACKSONVILLE,AR,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json,2025-03-01,2.2.0,https://www.unity-health.org/patients-visitors/pricing/,2026-09-09T01:47:31.340Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,040164
041332,UNITY HEALTH - NEWPORT,AR,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json,2025-03-01,2.2.0,https://www.unity-health.org/patients-visitors/pricing/,2026-09-09T01:47:31.400Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,041332
040014,WHITE COUNTY MEDICAL CENTER,AR,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json,2025-03-01,2.2.0,https://www.unity-health.org/patients-visitors/pricing/,2026-09-09T01:47:31.550Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,040014
640001,LBJ TROPICAL MEDICAL CENTER,AS,compliant-date-unverified,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://lbjtmc.org/cms-hpt.txt,,,,,2026-09-09T01:42:42.841Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,640001
034035,AVENIR BEHAVIORAL HEALTH CENTER,AZ,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759426049/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmhxc3h3-avenir-senior-living/uploads/cms-hptt_ggurj3.txt,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv,2025-09-30,2.0.0,https://www.avenirseniorliving.com/senior-living/az/surprise/behavioral-health/pricing-transparency,2026-09-09T01:47:31.754Z,,,Publisher metadata review,Review the draft against the saved header and current CMS data dictionary; request the current file or clarification.,file-evidence.csv,034035
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030002
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030064
030088,BANNER BAYWOOD MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030088
034004,BANNER BEHAVIORAL HEALTH HOSPITAL,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,034004
030061,BANNER BOSWELL MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030061
030016,BANNER CASA GRANDE MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030016
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030093
030065,BANNER DESERT MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030065
030115,BANNER ESTRELLA MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030115
030122,BANNER GATEWAY MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030122
030134,BANNER GOLDFIELD MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030134
030105,BANNER HEART HOSPITAL,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030105
030130,BANNER IRONWOOD MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030130
030147,BANNER OCOTILLO MEDICAL CENTER,AZ,pointer-blocked-to-automation,pointer-or-domain-review,HTTP Parse Error: Header overflow,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:43.244Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,030147
