ccn,hospital_name,state,old_intervention,old_finding,result,corroborated_files,pointer_attempts,pointer_entries,homepage_url,homepage_status,homepage_error,candidates_checked,prior_mrf_status,verified_mrf_url,fresh_date,verified_pointer_url,fresh_metadata,fresh_version,old_date,old_version,checked_at
100180,HCA FLORIDA ST PETERSBURG HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/59-1174716_HCA-FLORIDA-ST.-PETERSBURG-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:41.666Z
100191,HCA FLORIDA TRINITY HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/59-2047041_HCA-FLORIDA-TRINITY-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:42.041Z
100054,HCA FLORIDA TWIN CITIES HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/59-1836808_HCA-FLORIDA-TWIN-CITIES-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:42.448Z
100360,HCA FLORIDA UNIVERSITY HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/32-0583104_HCA-FLORIDA-UNIVERSITY-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:42.886Z
100329,OVIEDO MEDICAL CENTER,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,2,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/46-4660005_OVIEDO-MEDICAL-CENTER_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:43.312Z
100350,UCF LAKE NONA HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,2,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/85-4247323_UCF-LAKE-NONA-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:43.336Z
110015,TANNER MEDICAL CENTER VILLA RICA,GA,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://tanner.org/cms-hpt.txt [200],5,,,,2,404,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/582453303_Tanner-Medical-Center---Villa-Rica_standardcharges.csv,2026-03-24,https://tanner.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2024-07-01,2.0.0,2026-09-09T01:24:44.562Z
160101,BROADLAWNS MEDICAL CENTER,IA,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://broadlawns.org/cms-hpt.txt [200],1,,,,2,206,https://HospitalPriceDisclosure.com/Default.aspx?ci=1VwSuyXntiJ*_*QU4uafbKPQ*-*,2026-09-01,https://www.broadlawns.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-04-23,3.0.0,2026-09-09T01:24:44.576Z
160112,SPENCER MUNICIPAL HOSPITAL,IA,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://spencerhospital.org/cms-hpt.txt [200],1,,,,2,206,https://www.spencerhospital.org/webres/File/Pricing/426005883_spencer-municipal-hospital_standardcharges.csv,2026-01-01,http://www.spencerhospital.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2024-07-01,2.0.0,2026-09-09T01:24:44.837Z
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,IL,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://www.loyolamedicine.org/cms-hpt.txt [200],3,,,,1,200,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/gottliebmemorialhospital,2026-03-31,https://www.loyolamedicine.org/sites/default/files/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:45.025Z
151322,PERRY COUNTY MEMORIAL HOSPITAL,IN,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://www.pchospital.org/cms-hpt.txt [200],1,,,,2,403,https://s3.amazonaws.com/ycubaa-production-marlin-1-charge-management-public/facilities/24038e54-d9a2-4236-9081-ad3af29792c7/351121699_PERRY-COUNTY-MEMORIAL-HOSPITAL_standardcharges.zip,2026-06-08,https://www.pchospital.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:46.429Z
170198,"SUMMIT SURGICAL, LLC",KS,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://summitks.com/cms-hpt.txt [200],1,,,,2,206,https://summitks.com/wp-content/uploads/203283620_summit-surgical-llc_standardcharges_9.1.26.csv,2026-08-19,https://summitks.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-07-29,2.0.0,2026-09-09T01:24:47.096Z
191307,DEQUINCY MEMORIAL HOSPITAL,LA,mrf-gone,mrf-url-unreachable,pointer-and-identity-verified,1,https://dequincymemorial.com/cms-hpt.txt [200],1,,,,2,404,https://dequincymemorial.com/36-4911029_DEQUINCY-MEMORIAL-HOSPITAL_standardcharges.csv,2026-05-14,https://dequincymemorial.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:47.429Z
194115,REGIONS BEHAVIORAL HOSPITAL,LA,old-template,old-template-version,pointer-and-identity-verified,1,https://regionsbh.com/cms-hpt.txt [request timeout] | https://www.regionsbh.com/cms-hpt.txt [200],1,,,,1,206,https://www.regionsbh.com/wp-content/uploads/2025/12/Regoins-Behavioral-Hospital-Price-Transparency-List-Info.csv,2025-12-10,https://www.regionsbh.com/cms-hpt.txt,date-within-365-days-version-3,3,2025-12-10,3,2026-09-09T01:24:47.811Z
220100,SOUTH SHORE HOSPITAL,MA,server-blocked,pointer-blocked-to-automation,pointer-and-identity-verified,1,https://southshorehealth.org/cms-hpt.txt [200],1,,,,1,,https://zencloud-southshorehealth.s3.us-east-1.amazonaws.com/www.southshorehealth.org/assets/2026-03/042769210_south-shore-hospital_standardcharges.json,2026-04-01,https://www.southshorehealth.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:47.899Z
213301,KENNEDY KRIEGER INSTITUTE,MD,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://kennedykrieger.org/cms-hpt.txt [200],1,,,,2,404,https://www.kennedykrieger.org/sites/default/files/library/documents/about-us/Financial%20Docs/520607971-1619075926_kennedy-krieger-institute_standardcharges.csv.csv,2026-08-27,https://www.kennedykrieger.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-01-01,2.0.0,2026-09-09T01:24:47.921Z
200020,YORK HOSPITAL,ME,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://yorkhospital.com/cms-hpt.txt [200],1,,,,2,200,https://www.yorkhospital.com/download_file/view/b51e4a30-f2e2-4e69-a7d1-2ec25eeaa1d7/286,2026-07-04,https://www.yorkhospital.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:47.971Z
251320,CLAIBORNE COUNTY HOSPITAL,MS,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://ccmcms.us/cms-hpt.txt [200],1,,,,1,206,https://www.ccmcms.us/docs/844_BILLINGITEMSLIST_CsvWidev3.0.0_20260521154214.csv,2026-05-21,https://www.ccmcms.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:55.203Z
290019,CARSON TAHOE REGIONAL MEDICAL CENTER,NV,waf-blocked,pointer-blocked-to-automation,pointer-and-identity-verified,1,https://carsontahoe.com/cms-hpt.txt [200],1,,,,1,,https://apim.services.craneware.com/api-pricing-transparency/api/public/633d776663e0de8f00d1b829ca9ce867/charges/mrf,2026-03-25,https://www.carsontahoe.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:56.780Z
330090,ARNOT OGDEN MEDICAL CENTER,NY,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://arnothealth.org/cms-hpt.txt [200],5,,,,1,200,https://CayugaHealth.pt.panaceainc.com/MRFDownload/CayugaHealth/aomc,2026-03-27,https://arnothealth.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:56.913Z
330204,BELLEVUE HOSPITAL CENTER,NY,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://nychealthandhospitals.org/cms-hpt.txt [200],12,,,,1,200,https://nychh.pt.panaceainc.com/MRFDownload/nychh/bellevue,2026-09-05,https://www.nychealthandhospitals.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:56.927Z
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,NY,server-blocked,pointer-blocked-to-automation,pointer-and-identity-verified,1,https://ech.org/cms-hpt.txt [200],6,,,,1,,https://www.uvmhealth.org/sites/default/files/141364513_elizabethtown-community-hospital_standardcharges.csv,2026-04-28,https://www.uvmhealth.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:56.957Z
330102,KENMORE MERCY HOSPITAL,NY,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://chsbuffalo.org/cms-hpt.txt [200],6,,,,3,206,https://www.chsbuffalo.org/wp-content/uploads/2026/06/16-0762843_Kenmore-Mercy-Hospital_StandardCharges.csv,2026-04-01,https://chsbuffalo.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-02-25,2.0.0,2026-09-09T01:24:56.977Z
330202,KINGS COUNTY HOSPITAL CENTER,NY,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://nychealthandhospitals.org/cms-hpt.txt [200],12,,,,1,200,https://nychh.pt.panaceainc.com/MRFDownload/nychh/kings,2026-09-05,https://www.nychealthandhospitals.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:56.986Z
330279,MERCY HOSPITAL OF BUFFALO,NY,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://chsbuffalo.org/cms-hpt.txt [200],6,,,,3,206,https://www.chsbuffalo.org/wp-content/uploads/2026/06/16-0756336_Mercy-Hospital-of-Buffalo_StandardCharges.csv,2026-04-01,https://chsbuffalo.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-02-25,2.0.0,2026-09-09T01:24:57.023Z
331313,SCHUYLER HOSPITAL,NY,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://arnothealth.org/cms-hpt.txt [200],5,,,,1,200,https://cayugahealth.pt.panaceainc.com/MRFDownload/CayugaHealth/schuylerhospital,2026-03-27,https://arnothealth.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:57.725Z
330078,SISTERS OF CHARITY HOSPITAL,NY,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://chsbuffalo.org/cms-hpt.txt [200],6,,,,2,206,https://www.chsbuffalo.org/wp-content/uploads/2026/09/16-0743187_Sisters-of-Charity-Hospital_StandardCharges.csv,2026-04-01,https://chsbuffalo.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-02-25,2.0.0,2026-09-09T01:24:57.737Z
364056,ASSURANCE HEALTH CINCINNATI LLC,OH,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://assurancehealthsystem.com/cms-hpt.txt [200],6,,,,5,404,https://assurancehealthsystem.com/32-0466432_assurance-health-cincinnati-llc_standardcharges.csv,2026-04-01,https://assurancehealthsystem.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2024-12-19,1,2026-09-09T01:24:57.999Z
