ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at,previous_status,methods,blocker,blocker_details,browser_observation,next_action
100244,CAPE CORAL HOSPITAL,FL,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.leehealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:20.671Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
100249,TAMPA GENERAL HOSPITAL CRYSTAL RIVER,FL,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.tgh.org/cms-hpt.txt,,,,,2026-09-09T02:09:22.140Z,file-access-review,native,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
100330,HALIFAX HEALTH /UF HEALTH MEDICAL CENTER OF DELTON,FL,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://halifaxhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:22.970Z,file-access-review,native|glm-5.3-flash|web-search-verification,facility-identity-or-metadata-unresolved,mrf-header-does-not-match-unresolved-roster | header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
110005,NORTHSIDE HOSPITAL FORSYTH,GA,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T02:09:23.170Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
110006,ST MARY'S HOSPITAL,GA,mrf-stale-over-365-days,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.stmaryshealthcaresystem.org/sites/default/files/cms-hpt.txt,,,,,2026-09-09T02:09:23.372Z,file-access-review,native,facility-identity-or-metadata-unresolved,mrf-header-does-not-match-unresolved-roster | header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
110008,NORTHSIDE HOSPITAL CHEROKEE,GA,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T02:09:23.170Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
110087,NORTHSIDE HOSPITAL GWINNETT,GA,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T02:09:23.170Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
110161,NORTHSIDE HOSPITAL,GA,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T02:09:23.170Z,file-access-review,native|brave|glm-5.3-flash|web-search-verification,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,page-read: Brave rendered the homepage and pricing page with separate facility links. Atlanta link agrees with the pointer URL; file body availability was not established in the browser.,Continue bounded browser or official-domain discovery
110252,NORTHSIDE HOSPITAL DULUTH,GA,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T02:09:23.170Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
111329,ST MARYS GOOD SAMARITAN HOSPITAL,GA,mrf-stale-over-365-days,publisher-date-review,response received,entries retrieved,corroborated,response received,date-over-365-days,https://www.stmaryshealthcaresystem.org/sites/default/files/cms-hpt.txt,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/stmarys-goodsamaritanhospital,2025-01-01,2.0.0,,2026-09-09T02:23:34.936Z,file-access-review,native,,date-over-365-days,,Review the exact declared metadata before publisher inquiry
131319,MINIDOKA MEMORIAL HOSPITAL,ID,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://minidokamemorial.org/cms-hpt.txt,,,,,2026-09-09T02:09:23.440Z,file-access-review,native|glm-5.3-flash|web-search-verification,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Continue bounded browser or official-domain discovery
131326,CASSIA REGIONAL HOSPITAL,ID,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://intermountainhealthcare.org/sc10media/files/intermountain-health/locations/hospital-prices/price-transparency.txt,,,,,2026-09-09T02:09:23.817Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (28) Operation timed out after 15015 milliseconds with 0 bytes received
 | metadata-incomplete-or-request-failed | request deadline exceeded",,Continue bounded browser or official-domain discovery
161359,BURGESS HEALTH CENTER,IA,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://burgesshc.org/cms-hpt.txt,https://burgesshc.b-cdn.net/wp-content/uploads/2026/07/420859940_Burgess-Health-Center_StandardCharges.csv,2026-03-31,3.0.0,,2026-09-09T02:23:33.196Z,file-access-review,native,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Resolve official pointer linkage or conflicting metadata
161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,IA,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.mcmh.org/cms-hpt.txt,,,,,2026-09-09T02:09:36.116Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | request deadline exceeded",,Continue bounded browser or official-domain discovery
180013,THE MEDICAL CENTER (BOWLING GREEN),KY,not-assessed-not-named-in-file,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://medcenterhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:35.928Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
181314,CAVERNA MEMORIAL HOSPITAL,KY,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://medcenterhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:35.928Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
181318,THE MEDICAL CENTER AT FRANKLIN,KY,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://medcenterhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:35.928Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
181324,THE MEDICAL CENTER AT SCOTTSVILLE,KY,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://medcenterhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:35.928Z,file-access-review,native|glm-5.3-flash|web-search-verification,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
181333,THE MEDICAL CENTER AT ALBANY,KY,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://medcenterhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:35.928Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
190241,PHYSICIANS MEDICAL CENTER,LA,not-assessed-not-named-in-file,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.physicianshouma.com/cms-hpt.txt,,,,,2026-09-09T02:09:47.608Z,file-access-review,native|curl,facility-identity-or-metadata-unresolved,"metadata-incomplete-or-request-failed | mrf-header-has-no-license-state | mrf-header-does-not-match-unresolved-roster | curl: (28) Operation timed out after 11944 milliseconds with 0 bytes received
 | request timeout",,Compare facility identity and inspect unparsed metadata
190316,THE GENERAL,LA,not-assessed-not-named-in-file,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.brgeneral.org/cms-hpt.txt,,,,,2026-09-09T02:09:47.304Z,file-access-review,native,facility-identity-or-metadata-unresolved,header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
191318,RIVERLAND MEDICAL CENTER,LA,mrf-stale-over-365-days,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.trinitymed.com/cms-hpt.txt,,,,,2026-09-09T02:09:47.775Z,file-access-review,native,facility-identity-or-metadata-unresolved,mrf-header-does-not-match-unresolved-roster,,Compare facility identity and inspect unparsed metadata
194074,SERENITY SPRINGS SPECIALTY HOSPITAL,LA,mrf-stale-over-365-days,publisher-date-review,response received,entries retrieved,corroborated,response received,date-over-365-days,https://serenityhospital.com/cms-hpt.txt,https://rest.edit.site/filestorage-api-service/4a56fb3b641cb21ae28d316dd3efb637/price-transparency-tall-csv.csv,2024-10-14,2.0.0,,2026-09-09T02:23:47.588Z,file-access-review,native,,date-over-365-days,,Review the exact declared metadata before publisher inquiry
220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,MA,not-assessed-not-named-in-file,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.brownhealth.org/sites/default/files/2026-05/cms-hpt17.txt,,,,,2026-09-09T02:09:47.677Z,file-access-review,native,facility-identity-or-metadata-unresolved,mrf-header-does-not-match-unresolved-roster | mrf-header-name-without-location | header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
220111,GOOD SAMARITAN MEDICAL CENTER,MA,not-assessed-not-named-in-file,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.bmchealthsystem.org/cms-hpt.txt,,,,,2026-09-09T02:09:47.390Z,file-access-review,native|curl,facility-identity-or-metadata-unresolved,"mrf-header-name-without-location | mrf-header-does-not-match-unresolved-roster | curl: (28) Resolving timed out after 8011 milliseconds
 | metadata-incomplete-or-request-failed | request timeout",,Compare facility identity and inspect unparsed metadata
221303,ATHOL MEMORIAL HOSPITAL,MA,mrf-stale-over-365-days,publisher-date-review,response received,entries retrieved,corroborated,response received,date-over-365-days,https://www.atholhospital.org/cms-hpt.txt,https://mrfs.hyvehealthcare.com/HeywoodHealthcare/042126583_athol-memorial-hospital_standardcharges.json,2025-04-16,2.2.0,,2026-09-09T02:23:48.166Z,file-access-review,native,,date-over-365-days,,Review the exact declared metadata before publisher inquiry
230217,OAKLAWN HOSPITAL,MI,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://oaklawnhospital.org/cms-hpt.txt,,,,,2026-09-09T02:09:47.859Z,file-access-review,native,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | mrf-header-does-not-match-unresolved-roster,,Compare facility identity and inspect unparsed metadata
231339,COREWELL HEALTH PENNOCK HOSPITAL,MI,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://corewellhealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:48.687Z,file-access-review,native|curl,facility-identity-or-metadata-unresolved,"metadata-incomplete-or-request-failed | HTTP 422 | mrf-header-does-not-match-unresolved-roster | header-matches-other-roster-hospital | mrf-header-name-without-location | curl: (28) Operation timed out after 11584 milliseconds with 0 bytes received
 | request timeout",,Compare facility identity and inspect unparsed metadata
234048,PONTIAC GENERAL HOSPITAL,MI,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://pontiacgeneral.com/cms-hpt.txt,,,,,2026-09-09T02:09:49.523Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 307,,Continue bounded browser or official-domain discovery
250002,TISHOMINGO HEALTH SERVICES INC,MS,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://www.nmhs.net/cms-hpt.txt,"https://apps.nmhs.net/files/pt_mrf/640741047_tishomingo-health-services,inc-_standardcharges.json",2026-04-01,3.0.0,,2026-09-09T03:01:06.283Z,file-access-review,native,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | mrf-header-does-not-match-unresolved-roster | header-matches-other-roster-hospital,,Resolve official pointer linkage or conflicting metadata
250004,NORTH MISSISSIPPI MEDICAL CENTER,MS,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://www.nmhs.net/cms-hpt.txt,https://apps.nmhs.net/files/pt_mrf/640662976_north-mississippi-medical-center_standardcharges.json,2026-04-01,3.0.0,,2026-09-09T03:01:05.246Z,file-access-review,native|glm-5.3-flash,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | mrf-header-does-not-match-unresolved-roster | header-matches-other-roster-hospital,,Resolve official pointer linkage or conflicting metadata
261303,COMMUNITY HOSPITAL ASSOCIATION,MO,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://fairfaxmed.com/cms-hpt.txt,,,,,2026-09-09T02:09:49.787Z,file-access-review,native,facility-identity-or-metadata-unresolved,mrf-header-name-without-location | metadata-incomplete-or-request-failed | HTTP 404,,Compare facility identity and inspect unparsed metadata
271332,GLENDIVE MEDICAL CENTER,MT,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.gmc.org/cms-hpt.txt,,,,,2026-09-09T02:09:50.714Z,file-access-review,native|curl,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 403 | request timeout | mrf-header-has-no-license-state,,Compare facility identity and inspect unparsed metadata
281326,ANTELOPE MEMORIAL HOSPITAL,NE,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.amhne.org/cms-hpt.txt,,,,,2026-09-09T02:09:50.093Z,file-access-review,native|glm-5.3-flash|web-search-verification,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
281357,SIDNEY REGIONAL MEDICAL CENTER,NE,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,http://www.sidneyrmc.com/cms-hpt.txt,,,,,2026-09-09T02:09:50.133Z,file-access-review,native|curl,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Continue bounded browser or official-domain discovery
330006,ST JOSEPH'S MEDICAL CENTER,NY,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://search.hospitalpriceindex.com/100287/cms-hpt.txt,,,,,2026-09-09T02:09:51.213Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Continue bounded browser or official-domain discovery
330013,ALBANY MEDICAL CENTER HOSPITAL,NY,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.amc.edu/cms-hpt.txt,,,,,2026-09-09T02:09:51.103Z,file-access-review,native|curl|glm-5.3-flash,facility-identity-or-metadata-unresolved,"curl: (28) Resolving timed out after 8008 milliseconds
 | metadata-incomplete-or-request-failed | request timeout | header-matches-other-roster-hospital",,Compare facility identity and inspect unparsed metadata
330047,St Marys Healthcare,NY,compliant-date-unverified,file-access-review,response received,not retrieved,unresolved,response received,unverified,https://www.smha.org/wp-content/uploads/2026/05/cms-hpt-7.txt,,,,,2026-09-09T02:10:27.864Z,file-access-review,native|curl,official-pointer-or-metadata-unresolved,"curl: (28) Resolving timed out after 8007 milliseconds
 | metadata-incomplete-or-request-failed | request timeout | curl: (6) Could not resolve host: stmaryshospital.pg.scs.revenuemasters.com
",,Resolve official pointer linkage or conflicting metadata
330094,COLUMBIA MEMORIAL HOSPITAL,NY,compliant-date-unverified,file-access-review,response received,not retrieved,corroborated,response received,date-within-365-days-version-3,https://www.albanymed.org/cms-hpt.txt,https://albany.pt.panaceainc.com/MRFDownload/albany/albanycmh,2025-12-31,3.0.0,,2026-09-09T02:24:20.414Z,file-access-review,native|curl,official-pointer-or-metadata-unresolved,"curl: (28) Resolving timed out after 8008 milliseconds
 | metadata-incomplete-or-request-failed | request timeout | header-matches-other-roster-hospital",,Resolve official pointer linkage or conflicting metadata
330270,HOSPITAL FOR SPECIAL SURGERY,NY,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.hss.edu/cms-hpt.txt,,,,,2026-09-09T02:10:03.142Z,file-access-review,native|curl,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
333301,BLYTHEDALE CHILDREN'S HOSPITAL,NY,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://www.blythedale.org/cms-hpt.txt,https://www.blythedale.org/documents/13-1739922blythedale-children-s-hospitalstandardcharges,2026-03-01,3.0.0,,2026-09-09T02:24:20.179Z,file-access-review,native|curl,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Resolve official pointer linkage or conflicting metadata
340010,UNC HEALTH CARE WAYNE,NC,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.unchealth.org/cms-hpt.txt,,,,,2026-09-09T02:10:25.847Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | request deadline exceeded",,Continue bounded browser or official-domain discovery
340049,NORTH CAROLINA SPECIALTY HOSPITAL,NC,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://ncspecialty.com/cms-hpt.txt,,,,,2026-09-09T02:10:25.828Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | ECONNRESET",,Continue bounded browser or official-domain discovery
340060,UNC ROCKINGHAM,NC,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.unchealth.org/cms-hpt.txt,,,,,2026-09-09T02:10:25.847Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | ECONNRESET",,Continue bounded browser or official-domain discovery
340061,UNC HOSPITALS,NC,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.unchealth.org/cms-hpt.txt,,,,,2026-09-09T02:10:25.847Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | ECONNRESET",,Continue bounded browser or official-domain discovery
340090,JOHNSTON HEALTH,NC,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.unchealth.org/cms-hpt.txt,,,,,2026-09-09T02:10:25.847Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | request deadline exceeded",,Continue bounded browser or official-domain discovery
341325,ASHE MEMORIAL HOSPITAL,NC,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.ashememorial.org/cms-hpt.txt,,,,,2026-09-09T02:10:27.875Z,file-access-review,native|curl,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | mrf-header-name-without-location,,Compare facility identity and inspect unparsed metadata
351313,SOUTHWEST HEALTHCARE SERVICES,ND,old-template-version,publisher-template-review,response received,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://swhealthcare.net/file_download/inline/6a1de74d-5341-449e-8339-9ff3e2f6e18d,https://swhealthcare.net/file_download/inline/c967a943-4246-45d6-9ff2-8222bb15dc86,2025-10-16,2.0.0,,2026-09-09T02:24:21.528Z,file-access-review,native|curl,,date-within-365-days-older-version,,Review the exact declared metadata before publisher inquiry
363303,AKRON CHILDREN'S HOSPITAL,OH,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.akronchildrens.org/cms-hpt.txt,,,,,2026-09-09T02:10:29.014Z,file-access-review,native|glm-5.3-flash,facility-identity-or-metadata-unresolved,mrf-header-name-without-location,,Compare facility identity and inspect unparsed metadata
381321,GRANDE RONDE HOSPITAL,OR,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://res.cloudinary.com/dpmykpsih/raw/upload/grande-ronde-2024-site-487/media/r/c2c54056abfc458fbae9748c1bb9db93/cms-hpt.txt,https://www.grh.org/clientfiles/GetFile/08-2026_930505325_grande-ronde-hospital_standardcharges.csv,2026-03-31,3.0.0,,2026-09-09T02:24:23.921Z,file-access-review,native,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Resolve official pointer linkage or conflicting metadata
